加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
15, 1, 0,275, 275
15, 2, 275,550, 275
19, 1, 275,808, 533
15, 3, 550,825, 275
19, 2, 808,1341, 533
20, 1, 808,1499, 691
15, 4, 825,1100, 275
15, 4, 1100,1725, 625
19, 3, 1341,1874, 533
5, 1, 1499,2032, 533
20, 2, 1499,2190, 691
15, 3, 1874,2499, 625
19, 4, 1874,2407, 533
25, 1, 2032,2465, 433
5, 2, 2190,2723, 533
19, 4, 2407,3684, 1277
22, 1, 2465,2740, 275
20, 3, 2499,3190, 691
25, 2, 2723,3156, 433
11, 1, 2740,3173, 433
15, 2, 3156,3781, 625
9, 1, 3173,3491, 318
5, 3, 3190,3723, 533
3, 1, 3491,3852, 361
20, 4, 3684,4375, 691
25, 3, 3723,4156, 433
9, 2, 3781,4099, 318
2, 1, 3852,4170, 318
22, 2, 4099,4374, 275
9, 3, 4156,4474, 318
17, 1, 4170,4531, 361
2, 2, 4374,4692, 318
20, 4, 4375,6051, 1676
22, 3, 4474,4749, 275
28, 1, 4531,5395, 864
3, 2, 4692,5053, 361
2, 3, 4749,5067, 318
11, 2, 5053,5486, 433
3, 3, 5067,5428, 361
13, 1, 5395,6086, 691
19, 3, 5428,6705, 1277
17, 2, 5486,5847, 361
28, 2, 5847,6711, 864
3, 4, 6051,6412, 361
26, 1, 6086,6619, 533
22, 4, 6412,6687, 275
21, 1, 6619,7483, 864
9, 4, 6687,7005, 318
11, 3, 6705,7138, 433
13, 2, 6711,7402, 691
25, 4, 7005,7438, 433
28, 3, 7138,8002, 864
26, 2, 7402,7935, 533
9, 4, 7438,8171, 733
6, 1, 7483,8174, 691
21, 2, 7935,8799, 864
26, 3, 8002,8535, 533
3, 4, 8171,9013, 842
24, 1, 8174,8535, 361
13, 3, 8535,9226, 691
29, 1, 8535,8810, 275
19, 2, 8799,10076, 1277
10, 1, 8810,9171, 361
11, 4, 9013,9446, 433
27, 1, 9171,9862, 691
21, 3, 9226,10090, 864
25, 4, 9446,10469, 1023
8, 1, 9862,10137, 275
29, 2, 10076,10351, 275
9, 3, 10090,10823, 733
19, 1, 10137,11414, 1277
8, 2, 10351,10626, 275
5, 4, 10469,11002, 533
24, 2, 10626,10987, 361
3, 3, 10823,11665, 842
6, 2, 10987,11678, 691
22, 4, 11002,11627, 625
23, 1, 11414,11732, 318
5, 4, 11627,12904, 1277
8, 3, 11665,11940, 275
10, 2, 11678,12039, 361
16, 1, 11732,12050, 318
17, 3, 11940,12301, 361
23, 2, 12039,12357, 318
7, 1, 12050,12914, 864
10, 3, 12301,12662, 361
16, 2, 12357,12675, 318
6, 3, 12662,13353, 691
9, 2, 12675,13408, 733
21, 4, 12904,13768, 864
12, 1, 12914,13447, 533
24, 3, 13353,13714, 361
3, 2, 13408,14250, 842
4, 1, 13447,13880, 433
25, 3, 13714,14737, 1023
28, 4, 13768,14632, 864
14, 1, 13880,14744, 864
27, 2, 14250,14941, 691
21, 4, 14632,16743, 2111
22, 3, 14737,15362, 625
18, 1, 14744,15177, 433
25, 2, 14941,15964, 1023
9, 1, 15177,15910, 733
5, 3, 15362,16639, 1277
3, 1, 15910,16752, 842
14, 2, 15964,16828, 864
27, 3, 16639,17330, 691
10, 4, 16743,17104, 361
15, 1, 16752,17377, 625
18, 2, 16828,17261, 433
13, 4, 17104,17795, 691
4, 2, 17261,17694, 433
18, 3, 17330,17763, 433
30, 1, 17377,17695, 318
5, 2, 17694,18971, 1277
