代数, 变异数, 最优个体时间
1,5,49422.0
2,4,49422.0
3,3,49422.0
4,3,49422.0
5,7,49422.0
6,7,49422.0
7,5,49422.0
8,7,49422.0
9,5,49422.0
10,5,49422.0
