加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
4, 1, 0,500, 500
4, 2, 500,1000, 500
17, 1, 500,910, 410
15, 1, 910,1211, 301
4, 3, 1000,1500, 500
17, 2, 1000,1410, 410
27, 1, 1211,2037, 826
15, 2, 1410,1711, 301
4, 4, 1500,2000, 500
17, 3, 1500,1910, 410
15, 3, 1910,2211, 301
17, 4, 2000,2410, 410
19, 1, 2037,2664, 627
27, 2, 2037,2863, 826
17, 4, 2410,3218, 808
5, 1, 2664,3291, 627
19, 2, 2863,3490, 627
27, 3, 2863,3689, 826
4, 4, 3218,4208, 990
23, 1, 3291,3646, 355
5, 2, 3490,4117, 627
29, 1, 3646,3947, 301
19, 3, 3689,4316, 627
11, 1, 3947,4447, 500
29, 2, 4117,4418, 301
15, 4, 4208,4509, 301
4, 3, 4316,5306, 990
23, 2, 4418,4773, 355
28, 1, 4447,5491, 1044
15, 4, 4509,5100, 591
11, 2, 4773,5273, 500
27, 4, 5100,5926, 826
4, 2, 5306,6296, 990
29, 3, 5306,5607, 301
7, 1, 5491,6535, 1044
17, 3, 5607,6415, 808
19, 4, 5926,6553, 627
28, 2, 6296,7340, 1044
23, 3, 6415,6770, 355
12, 1, 6535,7162, 627
29, 4, 6553,6854, 301
15, 3, 6770,7361, 591
27, 4, 6854,8496, 1642
13, 1, 7162,7988, 826
17, 2, 7340,8148, 808
28, 3, 7361,8405, 1044
14, 1, 7988,9032, 1044
12, 2, 8148,8775, 627
5, 3, 8405,9032, 627
28, 4, 8496,9540, 1044
7, 2, 8775,9819, 1044
16, 1, 9032,9387, 355
27, 3, 9032,10674, 1642
6, 1, 9387,10213, 826
19, 4, 9540,10783, 1243
13, 2, 9819,10645, 826
20, 1, 10213,11039, 826
15, 2, 10645,11236, 591
7, 3, 10674,11718, 1044
28, 4, 10783,12860, 2077
1, 1, 11039,11340, 301
20, 2, 11236,12062, 826
9, 1, 11340,11695, 355
4, 1, 11695,12685, 990
11, 3, 11718,12218, 500
14, 2, 12062,13106, 1044
19, 3, 12218,13461, 1243
2, 1, 12685,13040, 355
5, 4, 12860,13487, 627
15, 1, 13040,13631, 591
2, 2, 13106,13461, 355
9, 2, 13461,13816, 355
12, 3, 13461,14088, 627
23, 4, 13487,13842, 355
8, 1, 13631,13932, 301
6, 2, 13816,14642, 826
5, 4, 13842,15085, 1243
26, 1, 13932,14559, 627
28, 3, 14088,16165, 2077
17, 1, 14559,15367, 808
26, 2, 14642,15269, 627
12, 4, 15085,15712, 627
1, 2, 15269,15570, 301
10, 1, 15367,15777, 410
8, 2, 15570,15871, 301
23, 4, 15712,16412, 700
21, 1, 15777,16821, 1044
16, 2, 15871,16226, 355
14, 3, 16165,17209, 1044
28, 2, 16226,18303, 2077
7, 4, 16412,17456, 1044
18, 1, 16821,17321, 500
5, 3, 17209,18452, 1243
24, 1, 17321,17731, 410
11, 4, 17456,17956, 500
3, 1, 17731,18141, 410
11, 4, 17956,18946, 990
25, 1, 18141,18641, 500
19, 2, 18303,19546, 1243
6, 3, 18452,19278, 826
30, 1, 18641,18996, 355
7, 4, 18946,21023, 2077
28, 1, 18996,21073, 2077
16, 3, 19278,19633, 355
10, 2, 19546,19956, 410
13, 3, 19633,20459, 826
24, 2, 19956,20366, 410
21, 2, 20366,21410, 1044
8, 3, 20459,20760, 301
9, 3, 20760,21115, 355
16, 4, 21023,21378, 355
22, 1, 21073,21374, 301
2, 3, 21115,21470, 355
19, 1, 21374,22617, 1243
9, 4, 21378,21733, 355
27, 2, 21410,23052, 1642
21, 3, 21470,22514, 1044
2, 4, 21733,22088, 355
12, 4, 22088,23331, 1243
11, 3, 22514,23504, 990
25, 2, 23052,23552, 500
27, 1, 23052,24694, 1642
8, 4, 23331,23632, 301
10, 3, 23504,23914, 410
11, 2, 23552,24542, 990
