代数, 变异数, 最优个体时间
1,6,50872.0
2,3,50872.0
3,2,50872.0
4,7,50872.0
5,6,50872.0
6,5,50872.0
7,3,50872.0
8,4,50872.0
9,8,50872.0
10,6,50872.0
