代数, 变异数, 最优个体时间
1,7,5133.0
2,2,5133.0
3,5,5133.0
4,7,5133.0
5,4,5133.0
6,2,5133.0
7,3,5133.0
8,9,5133.0
9,2,5133.0
10,4,5133.0
