加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
27, 4, 59057,61222, 2165
16, 3, 59295,60235, 940
16, 2, 60709,61649, 940
21, 1, 60709,63440, 2731
24, 4, 61222,62303, 1081
27, 3, 61222,63387, 2165
11, 2, 61649,62966, 1317
17, 4, 62303,63384, 1081
5, 4, 63384,64230, 846
24, 3, 63387,64468, 1081
27, 2, 63387,65552, 2165
11, 1, 63440,64757, 1317
5, 4, 64230,65877, 1647
17, 3, 64468,65549, 1081
16, 1, 64757,65697, 940
24, 2, 65552,66633, 1081
27, 1, 65697,67862, 2165
3, 4, 65877,66958, 1081
5, 3, 65877,67524, 1647
17, 2, 66633,67714, 1081
15, 4, 66958,67757, 799
3, 3, 67524,68605, 1081
5, 2, 67714,69361, 1647
12, 4, 67757,69404, 1647
17, 1, 67862,68943, 1081
15, 3, 68605,69404, 799
24, 1, 68943,70024, 1081
3, 2, 69361,70442, 1081
12, 3, 69404,71051, 1647
5, 1, 70024,71671, 1647
15, 2, 70442,71241, 799
12, 2, 71241,72888, 1647
15, 1, 71671,72470, 799
3, 1, 72470,73551, 1081
12, 1, 73551,75198, 1647
