代数, 变异数, 最优个体时间
1,3,97345.0
2,7,97345.0
3,1,97345.0
4,4,97345.0
5,4,97345.0
6,1,97345.0
7,7,97345.0
8,4,97345.0
9,5,97345.0
10,5,97345.0
