代数, 变异数, 最优个体时间
1,2,72891.0
2,6,72891.0
3,7,72891.0
4,3,72891.0
5,5,72891.0
6,1,72891.0
7,1,72891.0
8,4,72891.0
9,4,72891.0
10,6,72891.0
