加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
10, 1, 0,268, 268
10, 2, 268,536, 268
24, 1, 268,536, 268
3, 1, 536,804, 268
10, 3, 536,804, 268
24, 2, 536,804, 268
3, 2, 804,1072, 268
10, 4, 804,1072, 268
24, 3, 804,1072, 268
30, 1, 804,1041, 237
2, 1, 1041,1278, 237
3, 3, 1072,1340, 268
10, 5, 1072,1340, 268
24, 4, 1072,1340, 268
30, 2, 1072,1309, 237
23, 1, 1278,1515, 237
2, 2, 1309,1546, 237
3, 4, 1340,1608, 268
10, 6, 1340,1608, 268
24, 5, 1340,1608, 268
30, 3, 1340,1577, 237
18, 1, 1515,1834, 319
23, 2, 1546,1783, 237
2, 3, 1577,1814, 237
3, 5, 1608,1876, 268
10, 7, 1608,1876, 268
24, 6, 1608,1876, 268
30, 4, 1608,1845, 237
23, 3, 1814,2051, 237
18, 2, 1834,2153, 319
27, 1, 1834,2336, 502
2, 4, 1845,2082, 237
3, 6, 1876,2144, 268
10, 8, 1876,2144, 268
24, 7, 1876,2144, 268
30, 5, 1876,2113, 237
23, 4, 2082,2319, 237
2, 5, 2113,2350, 237
3, 7, 2144,2412, 268
10, 9, 2144,2412, 268
24, 8, 2144,2412, 268
30, 6, 2144,2381, 237
18, 3, 2153,2472, 319
8, 1, 2336,2543, 207
27, 2, 2336,2838, 502
23, 5, 2350,2587, 237
2, 6, 2381,2618, 237
3, 8, 2412,2680, 268
10, 10, 2412,2680, 268
24, 9, 2412,2680, 268
30, 7, 2412,2649, 237
18, 4, 2472,2791, 319
14, 1, 2543,3166, 623
23, 6, 2618,2855, 237
2, 7, 2649,2886, 237
3, 9, 2680,2948, 268
10, 11, 2680,2948, 268
24, 10, 2680,2948, 268
30, 8, 2680,2917, 237
18, 5, 2791,3110, 319
8, 2, 2838,3045, 207
27, 3, 2838,3340, 502
23, 7, 2886,3123, 237
2, 8, 2917,3154, 237
3, 10, 2948,3216, 268
10, 12, 2948,3216, 268
24, 11, 2948,3216, 268
30, 9, 2948,3185, 237
18, 6, 3110,3429, 319
23, 8, 3154,3391, 237
14, 2, 3166,3789, 623
20, 1, 3166,3668, 502
2, 9, 3185,3422, 237
3, 11, 3216,3484, 268
10, 13, 3216,3484, 268
24, 12, 3216,3484, 268
30, 10, 3216,3453, 237
8, 3, 3340,3547, 207
27, 4, 3340,3842, 502
23, 9, 3422,3659, 237
18, 7, 3429,3748, 319
2, 10, 3453,3690, 237
3, 12, 3484,3752, 268
10, 14, 3484,3752, 268
24, 13, 3484,3752, 268
30, 11, 3484,3721, 237
6, 1, 3668,4170, 502
23, 10, 3690,3927, 237
2, 11, 3721,3958, 237
18, 8, 3748,4067, 319
3, 13, 3752,4020, 268
10, 15, 3752,4020, 268
24, 14, 3752,4020, 268
30, 12, 3752,3989, 237
14, 3, 3789,4412, 623
20, 2, 3789,4291, 502
8, 4, 3842,4049, 207
27, 5, 3842,4344, 502
23, 11, 3958,4195, 237
2, 12, 3989,4226, 237
3, 14, 4020,4288, 268
10, 16, 4020,4288, 268
24, 15, 4020,4288, 268
30, 13, 4020,4257, 237
18, 9, 4067,4386, 319
12, 1, 4170,4560, 390
23, 12, 4226,4463, 237
2, 13, 4257,4494, 237
3, 15, 4288,4556, 268
24, 16, 4288,4556, 268
30, 14, 4288,4525, 237
6, 2, 4291,4793, 502
8, 5, 4344,4551, 207
27, 6, 4344,4846, 502
18, 10, 4386,4705, 319
14, 4, 4412,5035, 623
20, 3, 4412,4914, 502
23, 13, 4494,4731, 237
2, 14, 4525,4762, 237
24, 16, 4556,5047, 491
30, 15, 4556,4793, 237
15, 1, 4560,4767, 207
18, 11, 4705,5024, 319
23, 14, 4762,4999, 237
