代数, 变异数, 最优个体时间
1,1,75198.0
2,3,75198.0
3,4,75198.0
4,6,75198.0
5,1,75198.0
6,3,75198.0
7,3,75198.0
8,4,75198.0
9,5,75198.0
10,2,75198.0
