加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
22, 1, 0,213, 213
1, 1, 213,426, 213
22, 2, 213,426, 213
1, 2, 426,639, 213
22, 3, 426,639, 213
25, 1, 426,755, 329
1, 3, 639,852, 213
22, 4, 639,852, 213
25, 2, 755,1084, 329
29, 1, 755,968, 213
1, 4, 852,1065, 213
22, 5, 852,1065, 213
9, 1, 968,1213, 245
1, 5, 1065,1278, 213
22, 6, 1065,1278, 213
25, 3, 1084,1413, 329
29, 2, 1084,1297, 213
19, 1, 1213,1616, 403
1, 6, 1278,1491, 213
22, 7, 1278,1491, 213
9, 2, 1297,1542, 245
25, 4, 1413,1742, 329
29, 3, 1413,1626, 213
1, 7, 1491,1704, 213
22, 8, 1491,1704, 213
4, 1, 1616,1945, 329
19, 2, 1616,2019, 403
9, 3, 1626,1871, 245
1, 8, 1704,1917, 213
22, 9, 1704,1917, 213
25, 5, 1742,2071, 329
29, 4, 1742,1955, 213
1, 9, 1917,2130, 213
22, 10, 1917,2130, 213
11, 1, 1945,2274, 329
9, 4, 1955,2200, 245
4, 2, 2019,2348, 329
19, 3, 2019,2422, 403
25, 6, 2071,2400, 329
29, 5, 2071,2284, 213
1, 10, 2130,2343, 213
22, 11, 2130,2343, 213
27, 1, 2274,2793, 519
9, 5, 2284,2529, 245
1, 11, 2343,2556, 213
22, 12, 2343,2556, 213
11, 2, 2348,2677, 329
25, 7, 2400,2729, 329
29, 6, 2400,2613, 213
4, 3, 2422,2751, 329
19, 4, 2422,2825, 403
1, 12, 2556,2769, 213
22, 13, 2556,2769, 213
9, 6, 2613,2858, 245
25, 8, 2729,3058, 329
29, 7, 2729,2942, 213
11, 3, 2751,3080, 329
1, 13, 2769,2982, 213
22, 14, 2769,2982, 213
3, 1, 2793,3069, 276
27, 2, 2793,3312, 519
4, 4, 2825,3154, 329
19, 5, 2825,3228, 403
9, 7, 2942,3187, 245
22, 14, 2982,3364, 382
25, 9, 3058,3387, 329
29, 8, 3058,3271, 213
8, 1, 3069,3282, 213
11, 4, 3154,3483, 329
4, 5, 3228,3557, 329
19, 6, 3228,3631, 403
9, 8, 3271,3516, 245
10, 1, 3282,3558, 276
3, 2, 3312,3588, 276
27, 3, 3312,3831, 519
1, 14, 3364,3577, 213
22, 13, 3364,3746, 382
25, 10, 3387,3716, 329
29, 9, 3387,3600, 213
11, 5, 3557,3886, 329
5, 1, 3558,3961, 403
1, 14, 3577,3959, 382
10, 2, 3588,3864, 276
9, 9, 3600,3845, 245
4, 6, 3631,3960, 329
19, 7, 3631,4034, 403
25, 11, 3716,4045, 329
29, 10, 3716,3929, 213
22, 12, 3746,4128, 382
3, 3, 3831,4107, 276
27, 4, 3831,4350, 519
8, 2, 3864,4077, 213
9, 10, 3929,4174, 245
1, 13, 3959,4341, 382
11, 6, 3960,4289, 329
13, 1, 3961,4480, 519
4, 7, 4034,4363, 329
19, 8, 4034,4437, 403
29, 11, 4045,4258, 213
5, 2, 4077,4480, 403
10, 3, 4107,4383, 276
25, 12, 4128,4457, 329
22, 11, 4258,4640, 382
3, 4, 4350,4626, 276
27, 5, 4350,4869, 519
11, 7, 4363,4692, 329
8, 3, 4383,4596, 213
4, 8, 4437,4766, 329
19, 9, 4437,4840, 403
25, 13, 4457,4786, 329
29, 12, 4457,4670, 213
13, 2, 4480,4999, 519
16, 1, 4480,4725, 245
5, 3, 4596,4999, 403
10, 4, 4626,4902, 276
9, 11, 4640,4885, 245
22, 10, 4640,5022, 382
1, 12, 4670,5052, 382
20, 1, 4725,5244, 519
11, 8, 4766,5095, 329
25, 14, 4786,5115, 329
29, 13, 4786,4999, 213
4, 9, 4840,5169, 329
3, 5, 4869,5145, 276
27, 6, 4869,5388, 519
8, 4, 4902,5115, 213
13, 3, 4999,5518, 519
16, 2, 4999,5244, 245
19, 10, 5022,5425, 403
1, 11, 5052,5434, 382
9, 12, 5052,5297, 245
