代数, 变异数, 最优个体时间
1,6,44746.0
2,5,44746.0
3,7,44746.0
4,3,44746.0
5,6,44746.0
6,3,44746.0
7,2,44746.0
8,3,44746.0
9,7,44746.0
10,3,44746.0
