代数, 变异数, 最优个体时间
1,3,74957.0
2,1,74957.0
3,2,74957.0
4,5,74957.0
5,4,74957.0
6,3,74957.0
7,6,74957.0
8,7,74957.0
9,8,74957.0
10,4,74957.0
