代数, 变异数, 最优个体时间
1,3,56829.0
2,1,56829.0
3,4,56829.0
4,3,56829.0
5,3,56829.0
6,7,56829.0
7,5,56829.0
8,3,56829.0
9,6,56829.0
10,4,56829.0
