代数, 变异数, 最优个体时间
1,4,89006.0
2,4,89006.0
3,1,89006.0
4,4,89006.0
5,5,89006.0
6,3,89006.0
7,3,89006.0
8,2,89006.0
9,1,89006.0
10,6,89006.0
