代数, 变异数, 最优个体时间
1,7,48627.0
2,4,48627.0
3,5,48627.0
4,3,48627.0
5,3,48627.0
6,4,48627.0
7,2,48627.0
8,6,48627.0
9,6,48627.0
10,4,48627.0
