代数, 变异数, 最优个体时间
1,1,47917.0
2,5,47917.0
3,4,47917.0
4,3,47917.0
5,6,47917.0
6,8,47917.0
7,5,47917.0
8,6,47917.0
9,2,47917.0
10,2,47917.0
