代数, 变异数, 最优个体时间
1,4,55670.0
2,5,55670.0
3,4,55670.0
4,7,55670.0
5,2,55670.0
6,7,55670.0
7,7,55670.0
8,2,55670.0
9,4,55670.0
10,3,55670.0
