代数, 变异数, 最优个体时间
1,6,66812.0
2,3,66812.0
3,6,66812.0
4,6,66812.0
5,6,66812.0
6,1,66812.0
7,6,66812.0
8,3,66812.0
9,7,66812.0
10,6,66812.0
