代数, 变异数, 最优个体时间
310,2,68517.0
311,5,68517.0
312,6,68517.0
313,6,68517.0
314,3,68517.0
315,4,68517.0
316,1,68517.0
317,6,68517.0
318,3,68517.0
319,2,68517.0
320,6,68517.0
321,4,68517.0
322,7,68517.0
323,1,68517.0
324,4,68517.0
325,2,68517.0
326,4,68517.0
327,6,68517.0
328,3,68517.0
329,5,68517.0
330,7,68517.0
331,6,68517.0
332,2,68517.0
333,1,68517.0
334,1,68517.0
335,3,68517.0
336,6,68517.0
337,4,68517.0
338,3,68517.0
339,3,68517.0
340,4,68517.0
341,6,68517.0
342,5,68517.0
343,8,68517.0
344,6,68517.0
345,2,68517.0
346,5,68517.0
347,1,68517.0
348,3,68517.0
349,6,68517.0
350,5,68517.0
351,3,68517.0
352,3,68517.0
353,8,68517.0
354,4,68517.0
355,5,68517.0
356,1,68517.0
357,5,68517.0
358,2,68517.0
359,7,68517.0
360,7,68517.0
361,4,68517.0
362,3,68517.0
363,6,68517.0
364,1,68517.0
365,7,68517.0
366,3,68517.0
367,3,68517.0
368,5,68517.0
369,3,68517.0
370,3,68517.0
371,1,68517.0
372,4,68517.0
373,4,68517.0
374,6,68517.0
375,1,68517.0
376,5,68517.0
377,6,68517.0
378,3,68517.0
379,3,68517.0
380,6,68517.0
381,3,68517.0
382,5,68517.0
383,4,68517.0
384,4,68517.0
385,3,68517.0
386,3,68517.0
387,1,68517.0
388,3,68517.0
389,5,68517.0
390,2,68517.0
391,5,68517.0
392,5,68517.0
393,6,68517.0
394,7,68517.0
395,4,68517.0
396,6,68517.0
397,7,68517.0
398,2,68517.0
399,6,68517.0
400,6,68517.0
401,5,68517.0
402,6,68517.0
403,8,68517.0
404,1,68517.0
405,2,68517.0
406,3,68517.0
407,3,68517.0
408,5,68517.0
409,7,68517.0
410,3,68517.0
411,5,68517.0
412,6,68517.0
413,5,68517.0
414,3,68517.0
415,3,68517.0
416,2,68517.0
417,5,68517.0
418,7,68517.0
419,7,68517.0
420,6,68517.0
421,6,68517.0
422,4,68517.0
423,5,68517.0
424,2,68517.0
425,5,68517.0
426,6,68517.0
427,2,68517.0
428,6,68517.0
429,6,68517.0
430,6,68517.0
431,4,68517.0
432,7,68517.0
433,7,68517.0
434,1,68517.0
435,1,68517.0
436,4,68517.0
437,4,68517.0
438,3,68517.0
439,4,68517.0
440,2,68517.0
441,2,68517.0
442,6,68517.0
443,3,68517.0
444,2,68517.0
445,1,68517.0
446,4,68517.0
447,7,68517.0
448,5,68517.0
449,3,68517.0
450,6,68517.0
451,7,68517.0
452,3,68517.0
453,1,68517.0
454,2,68517.0
455,5,68517.0
456,5,68517.0
457,1,68517.0
458,4,68517.0
459,2,68517.0
460,5,68517.0
461,5,68517.0
462,7,68517.0
463,7,68517.0
464,2,68517.0
465,3,68517.0
466,1,68517.0
467,3,68517.0
468,1,68517.0
469,6,68517.0
470,4,68517.0
471,6,68517.0
472,1,68517.0
473,5,68517.0
474,6,68517.0
475,6,68517.0
476,7,68517.0
477,3,68517.0
478,4,68517.0
479,4,68517.0
480,1,68517.0
481,3,68517.0
482,6,68517.0
483,1,68517.0
484,7,68517.0
485,8,68517.0
486,4,68517.0
487,5,68517.0
488,5,68517.0
489,8,68517.0
490,5,68517.0
491,2,68517.0
492,5,68517.0
493,1,68517.0
494,6,68517.0
495,5,68517.0
496,5,68517.0
497,2,68517.0
498,7,68517.0
499,5,68517.0
500,6,68517.0
501,4,68517.0
502,3,68517.0
503,1,68517.0
504,3,68517.0
505,6,68517.0
506,4,68517.0
507,3,68517.0
508,6,68517.0
509,2,68517.0
510,2,68517.0
511,1,68517.0
512,1,68517.0
513,7,68517.0
514,3,68517.0
515,3,68517.0
516,5,68517.0
517,2,68517.0
518,2,68517.0
519,6,68517.0
520,2,68517.0
521,5,68517.0
522,5,68517.0
523,2,68517.0
524,7,68517.0
525,6,68517.0
526,6,68517.0
527,3,68517.0
528,6,68517.0
529,3,68517.0
530,5,68517.0
531,5,68517.0
532,5,68517.0
533,3,68517.0
534,2,68517.0
535,3,68517.0
536,6,68517.0
537,7,68517.0
538,2,68517.0
539,5,68517.0
540,2,68517.0
541,3,68517.0
542,2,68517.0
543,5,68517.0
544,5,68517.0
545,4,68517.0
546,1,68517.0
547,4,68517.0
548,4,68517.0
549,3,68517.0
550,4,68517.0
551,6,68517.0
552,4,68517.0
553,6,68428.0
554,6,68428.0
555,4,68428.0
556,5,68428.0
557,7,68428.0
558,7,68428.0
559,3,68428.0
560,4,68428.0
561,3,68428.0
562,2,68428.0
563,2,68428.0
564,2,68428.0
565,2,68428.0
566,5,68428.0
567,4,68428.0
568,4,68428.0
569,5,68428.0
570,6,68428.0
571,5,68428.0
572,8,68428.0
573,1,68428.0
574,2,68428.0
575,3,68428.0
576,7,68428.0
577,2,68428.0
578,8,68428.0
579,3,68428.0
580,1,68428.0
