加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
1, 1, 0,301, 301
1, 2, 301,602, 301
35, 1, 301,1345, 1044
1, 3, 602,903, 301
1, 4, 903,1204, 301
1, 4, 1204,1795, 591
33, 1, 1345,1972, 627
35, 2, 1345,2389, 1044
1, 3, 1795,2386, 591
29, 1, 1972,2273, 301
24, 1, 2273,2683, 410
29, 2, 2389,2690, 301
35, 3, 2389,3433, 1044
26, 1, 2683,3310, 627
1, 2, 2690,3281, 591
24, 2, 3281,3691, 410
16, 1, 3310,3665, 355
29, 3, 3433,3734, 301
35, 4, 3433,4477, 1044
1, 1, 3665,4256, 591
16, 2, 3691,4046, 355
24, 3, 3734,4144, 410
26, 2, 4046,4673, 627
16, 3, 4144,4499, 355
21, 1, 4256,5300, 1044
24, 4, 4477,4887, 410
26, 3, 4673,5300, 627
33, 2, 4673,5300, 627
35, 4, 4887,6964, 2077
5, 1, 5300,5927, 627
21, 2, 5300,6344, 1044
33, 3, 5300,5927, 627
6, 1, 5927,6753, 826
5, 2, 6344,6971, 627
21, 3, 6344,7388, 1044
14, 1, 6753,7797, 1044
33, 4, 6964,7591, 627
6, 2, 6971,7797, 826
35, 3, 7388,9465, 2077
33, 4, 7591,8834, 1243
8, 1, 7797,8098, 301
14, 2, 7797,8841, 1044
18, 1, 8098,8598, 500
23, 1, 8598,8953, 355
21, 4, 8834,9878, 1044
18, 2, 8841,9341, 500
12, 1, 8953,9580, 627
8, 2, 9341,9642, 301
18, 3, 9465,9965, 500
17, 1, 9580,9990, 410
23, 2, 9642,9997, 355
16, 4, 9878,10233, 355
14, 3, 9965,11009, 1044
25, 1, 9990,10490, 500
17, 2, 9997,10407, 410
29, 4, 10233,10534, 301
35, 2, 10407,12484, 2077
4, 1, 10490,10990, 500
21, 4, 10534,12611, 2077
9, 1, 10990,11345, 355
17, 3, 11009,11419, 410
7, 1, 11345,12389, 1044
5, 3, 11419,12046, 627
23, 3, 12046,12401, 355
15, 1, 12389,12690, 301
8, 3, 12401,12702, 301
9, 2, 12484,12839, 355
16, 4, 12611,13311, 700
13, 1, 12690,13516, 826
33, 3, 12702,13945, 1243
12, 2, 12839,13466, 627
24, 4, 13311,14119, 808
7, 2, 13466,14510, 1044
19, 1, 13516,14143, 627
9, 3, 13945,14300, 355
5, 4, 14119,14746, 627
28, 1, 14143,15187, 1044
6, 3, 14300,15126, 826
13, 2, 14510,15336, 826
9, 4, 14746,15101, 355
18, 4, 15101,15601, 500
12, 3, 15126,15753, 627
2, 1, 15187,15542, 355
