加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
30, 1, 0,492, 492
22, 1, 492,914, 422
30, 2, 492,984, 492
29, 1, 914,1336, 422
22, 2, 984,1406, 422
30, 3, 984,1476, 492
7, 1, 1336,2724, 1388
29, 2, 1406,1828, 422
22, 3, 1476,1898, 422
30, 4, 1476,1968, 492
29, 3, 1898,2320, 422
30, 4, 1968,2908, 940
7, 2, 2724,4112, 1388
13, 1, 2724,3829, 1105
22, 4, 2908,3330, 422
30, 3, 2908,3848, 940
22, 4, 3330,4129, 799
18, 1, 3829,4510, 681
7, 3, 4112,5500, 1388
30, 2, 4112,5052, 940
29, 4, 4129,4551, 422
5, 1, 4510,5356, 846
29, 4, 4551,5350, 799
13, 2, 5052,6157, 1105
26, 1, 5356,6202, 846
7, 4, 5500,6888, 1388
29, 3, 5500,6299, 799
5, 2, 6157,7003, 846
15, 1, 6202,6624, 422
22, 3, 6299,7098, 799
35, 1, 6624,8012, 1388
7, 4, 6888,9619, 2731
26, 2, 7003,7849, 846
13, 3, 7098,8203, 1105
22, 2, 7849,8648, 799
6, 1, 8012,9117, 1105
5, 3, 8203,9049, 846
35, 2, 8648,10036, 1388
26, 3, 9049,9895, 846
30, 1, 9117,10057, 940
5, 4, 9619,10465, 846
7, 3, 9895,12626, 2731
29, 2, 10036,10835, 799
22, 1, 10057,10856, 799
5, 4, 10465,12112, 1647
6, 2, 10835,11940, 1105
14, 1, 10856,12244, 1388
18, 2, 11940,12621, 681
26, 4, 12112,12958, 846
21, 1, 12244,13632, 1388
14, 2, 12621,14009, 1388
35, 3, 12626,14014, 1388
13, 4, 12958,14063, 1105
28, 1, 13632,15020, 1388
21, 2, 14009,15397, 1388
5, 3, 14014,15661, 1647
13, 4, 14063,16228, 2165
29, 1, 15020,15819, 799
7, 2, 15397,18128, 2731
21, 3, 15661,17049, 1388
25, 1, 15819,16500, 681
26, 4, 16228,17875, 1647
10, 1, 16500,17063, 563
6, 3, 17049,18154, 1105
2, 1, 17063,17555, 492
1, 1, 17555,17977, 422
21, 4, 17875,19263, 1388
33, 1, 17977,18823, 846
28, 2, 18128,19516, 1388
18, 3, 18154,18835, 681
24, 1, 18823,19386, 563
13, 3, 18835,21000, 2165
18, 4, 19263,19944, 681
31, 1, 19386,19949, 563
24, 2, 19516,20079, 563
18, 4, 19944,21261, 1317
23, 1, 19949,20441, 492
31, 2, 20079,20642, 563
12, 1, 20441,21287, 846
15, 2, 20642,21064, 422
31, 3, 21000,21563, 563
25, 2, 21064,21745, 681
6, 4, 21261,22366, 1105
3, 1, 21287,21850, 563
24, 3, 21563,22126, 563
12, 2, 21745,22591, 846
32, 1, 21850,22531, 681
26, 3, 22126,23773, 1647
35, 4, 22366,23754, 1388
11, 1, 22531,23212, 681
23, 2, 22591,23083, 492
1, 2, 23083,23505, 422
19, 1, 23212,24058, 846
10, 2, 23505,24068, 563
24, 4, 23754,24317, 563
25, 3, 23773,24454, 681
9, 1, 24058,24550, 492
5, 2, 24068,25715, 1647
31, 4, 24317,24880, 563
15, 3, 24454,24876, 422
17, 1, 24550,25113, 563
28, 3, 24876,26264, 1388
31, 4, 24880,25961, 1081
4, 1, 25113,25794, 681
26, 2, 25715,27362, 1647
16, 1, 25794,26286, 492
6, 4, 25961,28126, 2165
10, 3, 26264,26827, 563
7, 1, 26286,29017, 2731
12, 3, 26827,27673, 846
2, 2, 27362,27854, 492
31, 3, 27673,28754, 1081
13, 2, 27854,30019, 2165
10, 4, 28126,28689, 563
15, 4, 28689,29111, 422
14, 3, 28754,30142, 1388
