加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
1, 1, 0,148, 148
1, 2, 148,296, 148
16, 1, 148,315, 167
1, 3, 296,444, 148
16, 2, 315,482, 167
18, 1, 315,534, 219
1, 4, 444,592, 148
16, 3, 482,649, 167
18, 2, 534,753, 219
26, 1, 534,798, 264
1, 5, 592,740, 148
16, 4, 649,816, 167
1, 6, 740,888, 148
18, 3, 753,972, 219
10, 1, 798,985, 187
26, 2, 798,1062, 264
16, 5, 816,983, 167
1, 7, 888,1036, 148
18, 4, 972,1191, 219
16, 6, 983,1150, 167
12, 1, 985,1249, 264
1, 8, 1036,1184, 148
10, 2, 1062,1249, 187
26, 3, 1062,1326, 264
16, 7, 1150,1317, 167
1, 9, 1184,1332, 148
18, 5, 1191,1410, 219
12, 2, 1249,1513, 264
19, 1, 1249,1513, 264
16, 8, 1317,1484, 167
10, 3, 1326,1513, 187
26, 4, 1326,1590, 264
1, 10, 1332,1480, 148
18, 6, 1410,1629, 219
1, 11, 1480,1628, 148
16, 9, 1484,1651, 167
7, 1, 1513,1926, 413
12, 3, 1513,1777, 264
19, 2, 1513,1777, 264
10, 4, 1590,1777, 187
26, 5, 1590,1854, 264
1, 12, 1628,1776, 148
18, 7, 1629,1848, 219
16, 10, 1651,1818, 167
1, 12, 1776,2174, 398
12, 4, 1777,2041, 264
19, 3, 1777,2041, 264
16, 11, 1818,1985, 167
18, 8, 1848,2067, 219
10, 5, 1854,2041, 187
26, 6, 1854,2118, 264
7, 2, 1926,2339, 413
8, 1, 1926,2074, 148
12, 5, 2041,2305, 264
19, 4, 2041,2305, 264
18, 9, 2067,2286, 219
13, 1, 2074,2409, 335
10, 6, 2118,2305, 187
26, 7, 2118,2382, 264
1, 11, 2174,2572, 398
16, 12, 2174,2341, 167
18, 10, 2286,2505, 219
12, 6, 2305,2569, 264
19, 5, 2305,2569, 264
7, 3, 2339,2752, 413
8, 2, 2339,2487, 148
16, 12, 2341,2805, 464
10, 7, 2382,2569, 187
26, 8, 2382,2646, 264
4, 1, 2409,2628, 219
13, 2, 2487,2822, 335
12, 7, 2569,2833, 264
19, 6, 2569,2833, 264
1, 10, 2572,2970, 398
18, 11, 2572,2791, 219
22, 1, 2628,2776, 148
10, 8, 2646,2833, 187
26, 9, 2646,2910, 264
7, 4, 2752,3165, 413
8, 3, 2752,2900, 148
30, 1, 2776,2943, 167
16, 11, 2805,3269, 464
18, 12, 2805,3024, 219
4, 2, 2822,3041, 219
12, 8, 2833,3097, 264
19, 7, 2833,3097, 264
13, 3, 2900,3235, 335
10, 9, 2910,3097, 187
14, 1, 2943,3356, 413
26, 10, 2970,3234, 264
18, 12, 3024,3665, 641
30, 2, 3041,3208, 167
12, 9, 3097,3361, 264
19, 8, 3097,3361, 264
7, 5, 3165,3578, 413
8, 4, 3165,3313, 148
22, 2, 3208,3356, 148
10, 10, 3234,3421, 187
30, 3, 3235,3402, 167
26, 11, 3269,3533, 264
13, 4, 3313,3648, 335
2, 1, 3356,3523, 167
14, 2, 3356,3769, 413
19, 9, 3361,3625, 264
4, 3, 3402,3621, 219
16, 10, 3421,3885, 464
20, 1, 3523,3858, 335
10, 11, 3533,3720, 187
7, 6, 3578,3991, 413
8, 5, 3578,3726, 148
22, 3, 3621,3769, 148
1, 9, 3625,4023, 398
4, 4, 3648,3867, 219
26, 12, 3665,3929, 264
18, 11, 3720,4361, 641
13, 5, 3726,4061, 335
2, 2, 3769,3936, 167
14, 3, 3769,4182, 413
15, 1, 3858,4006, 148
22, 4, 3867,4015, 148
12, 10, 3885,4149, 264
10, 12, 3929,4116, 187
20, 2, 3936,4271, 335
7, 7, 3991,4404, 413
8, 6, 3991,4139, 148
9, 1, 4006,4173, 167
30, 4, 4015,4182, 167
1, 8, 4023,4421, 398
16, 9, 4023,4487, 464
22, 5, 4061,4209, 148
10, 12, 4116,4646, 530
13, 6, 4139,4474, 335
19, 10, 4149,4413, 264
29, 1, 4173,4321, 148
2, 3, 4182,4349, 167
14, 4, 4182,4595, 413
30, 5, 4209,4376, 167
9, 2, 4271,4438, 167
24, 1, 4321,4508, 187
20, 3, 4349,4684, 335
12, 11, 4361,4625, 264
4, 5, 4376,4595, 219
8, 7, 4404,4552, 148
18, 10, 4413,5054, 641
7, 8, 4421,4834, 413
15, 2, 4438,4586, 148
30, 6, 4474,4641, 167
6, 1, 4508,4843, 335
1, 7, 4552,4950, 398
29, 2, 4586,4734, 148
2, 4, 4595,4762, 167
14, 5, 4595,5008, 413
19, 11, 4625,4889, 264
4, 6, 4641,4860, 219
12, 12, 4646,4910, 264
9, 3, 4684,4851, 167
24, 2, 4734,4921, 187
20, 4, 4762,5097, 335
7, 9, 4834,5247, 413
16, 8, 4834,5298, 464
3, 1, 4843,5030, 187
29, 3, 4851,4999, 148
22, 6, 4860,5008, 148
10, 11, 4889,5419, 530
12, 12, 4910,5705, 795
6, 2, 4921,5256, 335
13, 7, 4950,5285, 335
15, 3, 4999,5147, 148
2, 5, 5008,5175, 167
14, 6, 5008,5421, 413
25, 1, 5030,5249, 219
9, 4, 5097,5264, 167
24, 3, 5147,5334, 187
20, 5, 5175,5510, 335
7, 10, 5247,5660, 413
18, 9, 5247,5888, 641
23, 1, 5249,5416, 167
3, 2, 5256,5443, 187
15, 4, 5264,5412, 148
4, 7, 5285,5504, 219
13, 8, 5298,5633, 335
6, 3, 5334,5669, 335
24, 4, 5412,5599, 187
17, 1, 5416,5603, 187
1, 6, 5421,5819, 398
23, 2, 5443,5610, 167
16, 7, 5504,5968, 464
15, 5, 5510,5658, 148
29, 4, 5599,5747, 148
5, 1, 5603,5867, 264
17, 2, 5610,5797, 187
8, 8, 5633,5781, 148
24, 5, 5658,5845, 187
7, 11, 5660,6073, 413
10, 10, 5660,6190, 530
23, 3, 5669,5836, 167
26, 12, 5705,6500, 795
6, 4, 5747,6082, 335
4, 8, 5781,6000, 219
25, 2, 5797,6016, 219
2, 6, 5819,5986, 167
17, 3, 5836,6023, 187
29, 5, 5845,5993, 148
27, 1, 5867,6202, 335
8, 9, 5888,6036, 148
14, 7, 5968,6381, 413
20, 6, 5986,6321, 335
9, 5, 5993,6160, 167
18, 8, 6000,6641, 641
5, 2, 6016,6280, 264
3, 3, 6023,6210, 187
13, 9, 6036,6371, 335
12, 11, 6073,6868, 795
17, 4, 6082,6269, 187
1, 5, 6160,6558, 398
8, 10, 6190,6338, 148
21, 1, 6202,6615, 413
25, 3, 6210,6429, 219
23, 4, 6269,6436, 167
27, 2, 6280,6615, 335
24, 6, 6321,6508, 187
4, 9, 6371,6590, 219
13, 10, 6371,6706, 335
22, 7, 6381,6529, 148
5, 3, 6429,6693, 264
3, 4, 6436,6623, 187
19, 12, 6500,6764, 264
16, 6, 6508,6972, 464
30, 7, 6529,6696, 167
23, 5, 6558,6725, 167
